 "bdr" , "w" , "bc" , "trl" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/111331129/id" , "红楼梦  = = A dream of red mansions :   / 曹雪芹, 高鹗著  / by Cao Xueqin and Gao E  ; 杨宪益, 戴乃迭译  ; translated by Yang Xianyi and Gladys Yang/ Version condensée / 北京 : 外文出版社= Foreign Languages Press , 1999" , "Yang, Xianyi (1915-2009)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/111331129/id" , "红楼梦  = = A dream of red mansions :   / 曹雪芹, 高鹗著  / by Cao Xueqin and Gao E  ; 杨宪益, 戴乃迭译  ; translated by Yang Xianyi and Gladys Yang/ Version condensée / 北京 : 外文出版社= Foreign Languages Press , 1999" , "Yang, Gladys (1919-1999)" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/005580005/id" , "Le grand livre de la progression vers l'éveil  / par Tsongkhapa Losang Drakpa  ; traduction française de Georges Driessens  ; sous la direction de Yonten Gyatso  ; avec la collaboration de Michel Zaregradsky pour la version définitive / Jujurieux : Ed. Dharma , 1990-1992" , "Driessens, Georges (19..-....)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/156568837/id" , "The Story of the stone [also known as The Dream of the red chamber = Hong lou meng]  2, The Crab-flower club  : a Chinese novel  / by Cao Xueqin...  ; transl. by David Hawkes. and John Minford / Harmondsworth : Penguin Books , 1982" , "Minford, John (1946-.... ; sinologue)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/156568837/id" , "The Story of the stone [also known as The Dream of the red chamber = Hong lou meng]  2, The Crab-flower club  : a Chinese novel  / by Cao Xueqin...  ; transl. by David Hawkes. and John Minford / Harmondsworth : Penguin Books , 1982" , "Hawkes, David (1923-....)" ,
 "http://purl.bdrc.io/resource/P268" , "http://www.sudoc.fr/061392650/id" , "The divine tree  : a Tibetan mnemonic grammar poem  / [translated] by Noble Ross Reat / Dharamsala : Library of Tibetan Works and Archives , cop. 1982" , "Reat, Ross (19..-....)" ,
 "http://purl.bdrc.io/resource/P4278" , "http://www.sudoc.fr/148426085/id" , "Vita di Milarepa  : i suoi delitti, le sue prove, la sua liberazione  / a cura di Jacques Bacot  ; [traduzione di Anna Devoto] / Milano : Adelphi edizioni , 1971" , "Bacot, Jacques (1877-1965)" ,
 "http://purl.bdrc.io/resource/P4278" , "http://www.sudoc.fr/148426085/id" , "Vita di Milarepa  : i suoi delitti, le sue prove, la sua liberazione  / a cura di Jacques Bacot  ; [traduzione di Anna Devoto] / Milano : Adelphi edizioni , 1971" , "Devoto, Anna (19..-....)" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/12880324X/id" , "The graded course to enlightenment  : a brief exposition of the main points of the graded course to enlightenment  / translated by Sherpa Tulku, Khamlung Tulku, and Alexander Berzin / New Delhi : Tibet House , 1971" , "Berzin, Alexander (1944-....)" ,
 "http://purl.bdrc.io/resource/P182" , "http://www.sudoc.fr/018791603/id" , "Sum cu pa daṅ Rtags ʾjug gi don ñuṅ ṅur bśad pa blo ldan dgaʾ bskyed  = = Tibetische Nationalgrammatik : das Sum-cu-pa und Rtags-kyi-ʾajug-pa des Grosslamas von Peking Rol-pai-rdo-rje  / avec traduction et annotations par Johannes Schubert / Leipzig : Offizin Richard Hadl , 1937" , "Schubert, Johannes (1896-1976)" ,
