"p","prefL","es"
"http://purl.bdrc.io/resource/P5425","snyan dgon sprul sku mdo sngags chos kyi rgya mtsho/","75"
"http://purl.bdrc.io/resource/P7589","la yag pa byang chub dngos grub/","75"
"http://purl.bdrc.io/resource/P1298","mchims blo bzang grags pa/","74"
"http://purl.bdrc.io/resource/P1798","chos grags/","74"
"http://purl.bdrc.io/resource/P1KG20648","sku sger drung che blo bzang sbyin pa/","74"
"http://purl.bdrc.io/resource/P366","sman lung pa mi bskyod rdo rje/","74"
"http://purl.bdrc.io/resource/P5110","don grub rgyal/","74"
"http://purl.bdrc.io/resource/P1840","dol pa shes rab rgya mtsho/","73"
"http://purl.bdrc.io/resource/P4CZ15216","lo tsA ba 'jam dpal sgeg pa'i rdo rje/","73"
"http://purl.bdrc.io/resource/P6306","mkhan chen tshe dbang rig 'dzin/","73"
"http://purl.bdrc.io/resource/P6606","tshe ring dbang rgyal/","73"
"http://purl.bdrc.io/resource/P6677","na len+dra 'i mkhan po tshul khrims rgyal mtshan/","73"
"http://purl.bdrc.io/resource/P6896","zur mang mkhan po tshogs gnyis rgya mtsho/","73"
"http://purl.bdrc.io/resource/P1662","nyag rong gter ston gsang sngags gling pa/","72"
"http://purl.bdrc.io/resource/P1712","stag sgang mkhas mchog gu ru bkra shis/","72"
"http://purl.bdrc.io/resource/P1CZ2272","pad+ma tshe dbang /","72"
"http://purl.bdrc.io/resource/P1KG15783","thub bstan yar 'phel/","72"
"http://purl.bdrc.io/resource/P2236","lho chen 03 dkon mchog 'phrin las rnam rgyal/","72"
"http://purl.bdrc.io/resource/P4101","ldan ma lo tsA ba tshul khrims seng+ge","72"
"http://purl.bdrc.io/resource/P4CZ15123","lo tsA ba nyi ma rdo rje/","72"
"http://purl.bdrc.io/resource/P5632","thugs rje gzhan phan dpal bzang /","72"
"http://purl.bdrc.io/resource/P6259","rdo rje rgyal po/","72"
"http://purl.bdrc.io/resource/P6280","'jam dbyangs grags pa/","72"
"http://purl.bdrc.io/resource/P674","smin gling khri chen 03 rin chen rnam rgyal/","72"
"http://purl.bdrc.io/resource/P7859","a wa dhU ti pa btsun pa bsod nams/","72"
"http://purl.bdrc.io/resource/P9921","mkhan po tshe dbang bsod nams/","72"
"http://purl.bdrc.io/resource/P00EGS1016970","rong bo blo bzang snyan grags/","71"
"http://purl.bdrc.io/resource/P1099","se ra smad mkhan po grags pa mkhas grub/","71"
"http://purl.bdrc.io/resource/P4605","blo bzang chos dbyings/","71"
"http://purl.bdrc.io/resource/P691","'dzi sgar 04 rdo rje drag po rtsal/","71"
"http://purl.bdrc.io/resource/P00EGS1016936","sems dpa' rdo rje/","70"
"http://purl.bdrc.io/resource/P133","ngo rje ras pa/","70"
"http://purl.bdrc.io/resource/P1KG522","'jam dbyangs skyid/","70"
"http://purl.bdrc.io/resource/P301","khri 70 ngag dbang chos 'phel/","70"
"http://purl.bdrc.io/resource/P5010","zur 'tsho ba phyag rdor mgon po/","70"
"http://purl.bdrc.io/resource/P5964","rgyal thang pa bde chen rdo rje/","70"
"http://purl.bdrc.io/resource/P874","bde chen chos 'khor yongs 'dzin 01 ngag dbang bzang po/","70"
"http://purl.bdrc.io/resource/P89","'jag chen rgyal mtshan 'bum/","70"
"http://purl.bdrc.io/resource/P5930","khra dge slong tshul khrims dar rgyas/","69"
"http://purl.bdrc.io/resource/P5995","dzaH ka mchog sprul 02 kun bzang rnam rgyal/","69"
"http://purl.bdrc.io/resource/P690","zhe chen rab 'byams 02 'gyur med kun bzang rnam rgyal/","69"
"http://purl.bdrc.io/resource/P81","khri 05 blo gros chos skyong /","69"
"http://purl.bdrc.io/resource/P1KG3817","khro shul mkhan po 'jam dpal rdo rje/","68"
"http://purl.bdrc.io/resource/P276","se ra sngags pa mkhan zur nam mkha' bstan skyong /","68"
"http://purl.bdrc.io/resource/P2872","zur mang tshe dbang kun khyab/","68"
"http://purl.bdrc.io/resource/P487","bdag chen blo gros rgyal mtshan/","68"
"http://purl.bdrc.io/resource/P6173","gnas gsar bkra shis chos 'phel/","68"
"http://purl.bdrc.io/resource/P6957","ba thur mkhan po thub bstan chos 'phel/","68"
"http://purl.bdrc.io/resource/P7419","rgya zhang khrom rdo rje 'od 'bar/","68"
"http://purl.bdrc.io/resource/P8146","rgyus smon lam grags/","68"
"http://purl.bdrc.io/resource/P2228","'bri gung chung tshang 06 chos kyi blo gros/","67"
"http://purl.bdrc.io/resource/P5081","stag ras pa/","67"
"http://purl.bdrc.io/resource/P5909","dung mtsho ras pa phyi ma/","67"
"http://purl.bdrc.io/resource/P1665","sprul sku blo ldan snying po/","66"
"http://purl.bdrc.io/resource/P1707","gter chen ma ti rat+na/","66"
"http://purl.bdrc.io/resource/P2370","mkhan po nus ldan/","66"
"http://purl.bdrc.io/resource/P3006","sum ston ye shes gzungs/","66"
"http://purl.bdrc.io/resource/P6276","tshe dbang lha mo/","66"
"http://purl.bdrc.io/resource/P8LS3514","gsang sngags bstan pa'i rgyal mtshan/","66"
"http://purl.bdrc.io/resource/P9922","drung yig bstan 'dzin rnam rgyal/","66"
"http://purl.bdrc.io/resource/P295","stag phu 05 blo bzang chos kyi dbang phyug","65"
"http://purl.bdrc.io/resource/P2CZ10190","mkhan po rig 'dzin dar rgyas/","65"
"http://purl.bdrc.io/resource/P411","ching su tsug thu no mon han blo bzang nor bu shes rab/","65"
"http://purl.bdrc.io/resource/P4592","ke'u tshang 'jam dbyangs smon lam/","65"
"http://purl.bdrc.io/resource/P5778","khal kha rje btsun dam pa 04 blo bzang thub bstan dbang phyug 'jigs med rgya mtsho/","65"
"http://purl.bdrc.io/resource/P6455","rmugs sangs sprul sku pad+ma kun bzang rang grol།","65"
"http://purl.bdrc.io/resource/P779","ngor mkhan chen 16 dpal ldan don grub/","65"
"http://purl.bdrc.io/resource/P2917","paN chen blo gros legs bzang /","64"
"http://purl.bdrc.io/resource/P6209","shing bza' 05 skal bzang chos kyi rgyal mtshan/","64"
"http://purl.bdrc.io/resource/P616","bya bral rig 'dzin chos dbyings rdo rje/","63"
"http://purl.bdrc.io/resource/P9737","dbang chen dgyes rab rdo rje/","63"
"http://purl.bdrc.io/resource/P238","che shos 03 blo bzang byang chub bstan pa'i sgron me/","62"
"http://purl.bdrc.io/resource/P3785","spar phu ba blo gros seng+ge","62"
"http://purl.bdrc.io/resource/P4CZ15648","sgra bsgyur gyi lo tsA ba seng+ge rgyal mtshan/","62"
"http://purl.bdrc.io/resource/P5276","sna nam btsun pa skal bzang chos kyi rgya mtsho bsod nams dbang po/","62"
"http://purl.bdrc.io/resource/P7370","sha bo tshe ring /","62"
